;year;doi;authors;title;abstract;type;source;code_0;code_1;code_2
0;2019;10.48550/arXiv.1912.03556;Bartolucci, S., Caccioli, F., Vivo, P.;A percolation model for the emergence of the Bitcoin Lightning Network;"The Lightning Network is a so-called second-layer technology built on top of the Bitcoin blockchain to provide “off-chain"" fast payment channels between users, which means that not all transactions are settled and stored on the main blockchain. In this paper, we model the emergence of the Lightning Network as a (bond) percolation process and we explore how the distributional properties of the volume and size of transactions per user may impact its feasibility. The agents are all able to reciprocally transfer Bitcoins using the main blockchain and also – if economically convenient – to open a channel on the Lightning Network and transact “off chain"". We base our approach on fitness-dependent network models: as in real life, a Lightning channel is opened with a probability that depends on the “fitness"" of the concurring nodes, which in turn depends on wealth and volume of transactions. The emergence of a connected component is studied numerically and analytically as a function of the parameters, and the phase transition separating regions in the phase space where the Lightning Network is sustainable or not is elucidated. We characterize the phase diagram determining the minimal volume of transactions that would make the Lightning Network sustainable for a given level of fees or, alternatively, the maximal cost the Lightning ecosystem may impose for a given average volume of transactions. The model includes parameters that could be in principle estimated from publicly available data once the evolution of the Lighting Network will have reached a stationary operable state, and is fairly robust against different choices of the distributions of parameters and fitness kernels.";preprint;arxiv;Analysis;Topology;LN
1;2019;10.48550/arXiv.1902.07307;Martinazzi, S.;The evolution of Lightning Network’s Topology during its first year and the influence over its core values;It is now a whole year since Lightning Network (LN) has been launched on the Bitcoin’s mainnet. LN has been claimed as the solution for several of Bitcoin’s weaknesses such as its difficulty to scale in number of transactions per second and its expensiveness for relative small amount exchanged. LN is based upon a network of micro-channels opened and closed by issuing transactions on the Blockchain and capable to interact among themselves thanks to the Multi-hop framework. In this work I analysed the evolution of LN from its topological point of view and tried to understand how it impacts over some of Bitcoin’s historical core foundamentals such as the resilience against attacks and failures and the user’s anonymity. Another question I have tried to answer is whether the evolution of LN’s topology will make its synchronization easier.;preprint;arxiv;Analysis;Topology;LN
2;2019;10.48550/arXiv.1901.04972;Seres, I.A., Gulyás, L., Nagy, D.A., Burcsi, P.;Topological analysis of Bitcoin's lightning network;Bitcoin's Lightning Network (LN) is a scalability solution for Bitcoin allowing transactions to be issued with negligible fees and settled instantly at scale. In order to use LN, funds need to be locked in payment channels on the Bitcoin blockchain (Layer-1) for subsequent use in LN (Layer-2). LN is comprised of many payment channels forming a payment channel network. LN's promise is that relatively few payment channels already enable anyone to efficiently, securely and privately route payments across the whole network. In this paper, we quantify the structural properties of LN and argue that LN's current topological properties can be ameliorated in order to improve the security of LN, enabling it to reach its true potential.;preprint;arxiv;Analysis;Topology;LN
3;2020;10.1109/ISCISC51277.2020.9261916;"Ajorlou A.; Abbasfar A.";An Optimized Structure of State Channel Network to Improve Scalability of Blockchain Algorithms;Nowadays, blockchain is very common and widely used in various fields. The properties of blockchain-based algorithms such as being decentralized and uncontrolled by institutions and governments, are the main reasons that has attracted many applications. The security and the scalability limitations are the main challenges for the development of these systems. Using second layer network is one of the various methods proposed to improve the scalability of these systems. This network can increase the total number of transactions per second by creating extra channels between the nodes that operate in a different layer not obligated to be on consensus ledger. In this paper, the optimal structure for the second layer network has been presented. In the proposed structure we try to distribute the parameters of the second layer network as symmetrically as possible. To prove the optimality of this structure we first introduce the maximum scalability bound, and then calculate it for the proposed structure. This paper will show how the second layer method can improve the scalability without any information about the rate of transactions between nodes. © 2020 IEEE.;conference paper;scopus;Analysis;Topology;Other
4;2020;10.1007/978-3-030-51280-4_15;"Avarikioti Z.; Heimbach L.; Wang Y.; Wattenhofer R.";Ride the Lightning: The Game Theory of Payment Channels;Payment channels were introduced to solve various eminent cryptocurrency scalability issues. Multiple payment channels build a network on top of a blockchain, the so-called layer 2. In this work, we analyze payment networks through the lens of network creation games. We identify betweenness and closeness centrality as central concepts regarding payment networks. We study the topologies that emerge when players act selfishly and determine the parameter space in which they constitute a Nash equilibrium. Moreover, we determine the social optima depending on the correlation of betweenness and closeness centrality. When possible, we bound the price of anarchy. We also briefly discuss the price of stability. © 2020, International Financial Cryptography Association.;conference paper;scopus;Analysis;Topology;Other
5;2020;10.2139/ssrn.3540581;Bertucci, L.;Incentives on the Lightning Network : A Blockchain-Based Payment Network;The Lightning Network is a decentralized payment network built on top of a block-chain, in which intermediary nodes provide a trust-less routing service for end users. We provide an overview of the current state of the network and show that it can be well approximated by a scale free generative model with a fitness parameter, which suggests that nodes behave strategically on the network. Those strategic interactions between nodes can be described by a Bertrand competition model with capacity constraints. We show that there is a unique equilibrium in which a centralized network is never optimal, and the routing fee is strictly greater than the marginal cost. When nodes are heterogeneous in their opportunity cost of capital only, the equilibrium network structure can match the current state of the network.;preprint;ssrn;Analysis;Topology;LN
6;2020;10.48550/arXiv.2002.02819;Lin, J.-H., Primicerio, K., Squartini, T., Decker, C., Tessone, C.J.;Lightning network: A second path towards centralisation of the Bitcoin economy;"The Bitcoin Lightning Network (BLN), a so-called “second layer” payment protocol, was launched in 2018 to scale up the number of transactions between Bitcoin owners. In this paper, we analyse the structure of the BLN over a period of 18 months, ranging from 14th January 2018 to 13th July 2019, at the end of which the network has reached 8.216 users, 122.517 active channels and 2.732,5 transacted bitcoins. Here, we consider three representations of the BLN: the daily snapshot one, the weekly snapshot one and the daily-block snapshot one. By studying the topological properties of the binary and weighted versions of the three representations above, we find that the total volume of transacted bitcoins approximately grows as the square of the network size; however, despite the huge activity characterising the BLN, the bitcoins distribution is very unequal: the average Gini coefficient of the node strengths (computed across the entire history of the Bitcoin Lightning Network) is, in fact, ' 0.88 causing the 10% (50%) of the nodes to hold the 80% (99%) of the bitcoins at stake in the BLN (on average, across the entire period). This concentration brings up the question of which minimalist network model allows us to explain the network topological structure. Like for other economic systems, we hypothesise that local properties of nodes, like the degree, ultimately determine part of its characteristics. Therefore, we have tested the goodness of the Undirected Binary Configuration Model (UBCM) in reproducing the structural features of the BLN: the UBCM recovers the disassortative and the hierarchical character of the BLN but underestimates the centrality of nodes; this suggests that the BLN is becoming an increasingly centralised network, more and more compatible with a core-periphery structure. Further inspection of the resilience of the BLN shows that removing hubs leads to the collapse of the network into many components, an evidence suggesting that this network may be a target for the so-called split attacks.";preprint;arxiv;Analysis;Topology;LN
7;2021;10.1109/CloudNet53349.2021.9657121;"Casas P.; Romiti M.; Holzer P.; Mariem S.B.; Donnet B.; Haslhofer B.";Where is the Light(ning) in the Taproot Dawn? Unveiling the Bitcoin Lightning (IP) Network;Proposed in 2016 and launched in 2018, the Bitcoin (BTC) Lightning Network (LN) can scale-up the capacity of the BTC blockchain network to process a significantly higher amount of transactions, in a faster, cheaper, and more privacy preserving manner. The number of LN nodes has been significantly increasing since 2018, and today there are more than twelve thousand nodes actively participating of so-called LN payment channels. The upcoming Taproot upgrade to the Bitcoin protocol would further boost the development and adoption of the LN. Taproot is the most significant upgrade to the Bitcoin network since the block size increase of 2017, and it will make LN transactions cheaper, more flexible, and more private. We focus on the characterization of the LN network topology, using network active measurements. By crawling the underlying P2P network supporting the Bitcoin LN over a span of 10-months, we unveil the LN in terms of size and location of its nodes as well as connectivity protocols, comparing it to the P2P IP network supporting the BTC blockchain. Among our findings, we show that IP addresses exposed by LN nodes correspond mainly to customer networks, even if most BTC nodes are actually deployed at major cloud providers, and that LN nodes significantly rely on anonymized networks and protocols such as Onion, with more than 40% of LN nodes connect through Tor.  © 2021 IEEE.;conference paper;scopus;Analysis;Topology;LN
8;2017;10.1007/978-3-319-69084-1_26;"Burchert C.; Decker C.; Wattenhofer R.";Scalable Funding of Bitcoin Micropayment Channel Networks;The Bitcoin network has scalability problems. To increase its transaction rate and speed, micropayment channel networks have been proposed, however these require to lock funds into specific channels. Moreover, the available space in the blockchain does not allow scaling to a world wide payment system. We propose a new layer that sits in between the blockchain and the payment channels. The new layer addresses the scalability problem by enabling trust-less off-blockchain channel funding. It consists of shared accounts of groups of nodes that flexibly create one-to-one channels for the payment network. The new system allows rapid changes of the allocation of funds to channels and reduces the cost of opening new channels. Instead of one blockchain transaction per channel, each user only needs one transaction to enter a group of nodes – within the group the user can create arbitrary many channels. For a group of 20 users with 100 intra-group channels, the cost of the blockchain transactions is reduced by 90% compared to 100 regular micropayment channels opened on the blockchain. This can be increased further to 96% if Bitcoin introduces Schnorr signatures with signature aggregation. © Springer International Publishing AG 2017.;conference paper;scopus;New Protocol;Performance;LN
9;2021;10.48550/arXiv.2111.13494;Lin, J.-H., Marchese, E., Tessone, C.J., Squartini, T.;The Weighted Bitcoin Lightning Network;"The Bitcoin Lightning Network (BLN) was launched in 2018 to scale up the number of transactions between Bitcoin owners. Although several contributions concerning the analysis of the BLN binary structure have recently appeared in the literature, the properties of its weighted counterpart are still largely unknown. The present contribution aims at filling this gap, by considering the Bitcoin Lightning Network over a period of 18 months, ranging from 12th January 2018 to 17th July 2019, and focusing on its weighted, undirected, daily snapshot representation - each weight representing the total capacity of the channels the two involved nodes have established on a given temporal snapshot. As the study of the BLN weighted structural properties reveals, it is becoming increasingly ‘centralised’ at different levels, just as its binary counterpart: 1) the Nakamoto coefficient shows that the percentage of nodes whose degrees/strengths ‘enclose’ the 51% of the total number of links/total weight is rapidly decreasing; 2) the Gini coefficient confirms that several weighted centrality measures are becoming increasingly unevenly distributed; 3) the weighted BLN topology is becoming increasingly compatible with a core-periphery structure, with the largest nodes ‘by strength’ constituting the core of such a network, whose size keeps shrinking as the BLN evolves. Further inspection of the resilience of the weighted BLN shows that removing such hubs leads to the network fragmentation into many components, an evidence indicating potential security threats - as the ones represented by the so called ‘split attacks’.";preprint;arxiv;Analysis;Topology;LN
